Topic,Statement,Recovered source,URL,Source orientation,Confidence,Caveat
Immigration,Educating migrants' children a drain on resources,Migration Observatory fiscal-impact briefing,https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/,Right-leaning / academic,Medium,Presented as a mechanism in static models not an endorsed claim
Immigration,Housing asylum seekers costs ~£8 million per day,"NAO, Investigation into asylum accommodation, 20 March 2024 (£3bn on hotels ~ £8M/day)",https://www.nao.org.uk/reports/investigation-into-asylum-accommodation/,Nonpartisan-official,High,£3bn on hotels in 2023-24 = ~£8M/day; confirmed in NAO report
Immigration,EU migrants paid more in tax than received in benefits,"Dustmann & Frattini, Economic Journal 2014 (UCL CReAM)",https://www.ucl.ac.uk/news/2014/nov/positive-economic-impact-uk-immigration-european-union-new-evidence,Academic,High,Strong match
Immigration,OBR high-migration scenario: net debt 30% lower,OBR Fiscal Risks & Sustainability July 2023,https://obr.uk/frs/fiscal-risks-and-sustainability-july-2023/,Nonpartisan-official,High,30% = 30 percentage points of GDP by 2072/73 (long-run)
Immigration,Migration to UK expected to drop in 2024,OBR EFO March 2024 / ONS,https://obr.uk/box/net-migration-forecast-and-its-impact-on-the-economy/,Nonpartisan-official,Medium,Widely-held expectation no single origin
Immigration,In 2023 80000 more Europeans left than arrived,ONS LTIM YE June 2023 (EU net ~ -86k),https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/longterminternationalmigrationprovisional/yearendingjune2023,Nonpartisan-official,High,Matches YE-June window
Criminal justice,Highest per-capita imprisonment rate in W. Europe,"Prison Reform Trust, Bromley Briefings (data: World Prison Brief)",https://prisonreformtrust.org.uk/england-and-wales-send-more-people-to-prison-each-year-than-anywhere-else-in-western-europe/,Left-leaning NGO (data nonpartisan),High,True; PRT is the populariser
Criminal justice,Reoffending costs UK more than £18 billion/year,"MoJ, Economic & Social Costs of Reoffending 2019 (£18.1bn)",https://www.gov.uk/government/publications/economic-and-social-costs-of-reoffending,Nonpartisan-official,High,"THE source (""government estimates"")"
Criminal justice,16% of prisoners don't know when they'll be released,Prison Reform Trust Bromley Briefings,https://prisonreformtrust.org.uk/wp-content/uploads/2025/02/Winter-2025-factfile.pdf,Left-leaning NGO,Medium-High,16% = indeterminate sentences; paraphrase
Criminal justice,Inspectors found only one prison gave purposeful activity,HM Inspectorate of Prisons (2022-23),https://committees.parliament.uk/writtenevidence/125825/pdf/,Nonpartisan-official,High,"Actually ""rated only one men's prison good for purposeful activity"" - nuance"
Criminal justice,Nearly 1000 knife offences every week,Derived from ONS data (journalistic phrasing),https://commonslibrary.parliament.uk/research-briefings/sn04304/,Nonpartisan-official (data),Medium/Low,"""Per week"" framing not in an official report"
Criminal justice,~10% of prison population are foreign nationals,MoJ OMSQ / HoC Library,https://commonslibrary.parliament.uk/research-briefings/sn04334/,Nonpartisan-official,Medium,"Actually ~12% (2023); ""10%"" rounded/dated"
Criminal justice,Average Briton breaks the law several times a week,BT consumer survey 2017 (UK) / US poll framing,"https://www.marieclaire.co.uk/life/common-crimes-uk-525643, citing https://newsroom.bt.com/new-survey-reveals-laws-brits-regularly-break/",Commercial/non-academic,Low,Weakest-sourced; not a policy source
Criminal justice,Imprisonment costs ~same as Eton,Full Fact (2018),https://fullfact.org/crime/prison-or-eton-which-costs-more/,Nonpartisan fact-checker,Medium-High,True for adult prisoners (~£40k); youth custody costs more
Covid-19,Vaccines prevented ~15 million deaths worldwide,"Watson et al., Lancet Infectious Diseases 2022 (14.4M)",https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(22)00320-6/fulltext,Peer-reviewed,High,14.4M reported-death basis (first year); 19.8M excess-death basis
Covid-19,~3% of UK population still have Long Covid,"ONS, 30 March 2023 (2.9%)",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/prevalenceofongoingsymptomsfollowingcoronaviruscovid19infectionintheuk/30march2023,Nonpartisan-official,High,Matches
Covid-19,NZ strict quarantine fared better than open UK,"Bloomberg 2023 / Jefferies et al., Lancet Public Health 2020",https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30225-5/fulltext,Centre media / peer-reviewed,Medium,"Popular-press characterisation; ""strict"" = borders not domestic"
Covid-19,Covid affects the brain as well as the body,"Douaud et al., Nature 2022 (UK Biobank)",https://www.nature.com/articles/s41586-022-04569-5,Peer-reviewed,High,Landmark MRI study
Covid-19,Maths attainment gap grew during lockdowns,Education Endowment Foundation / FFT Datalab 2022,https://educationendowmentfoundation.org.uk/news/new-research-indicates-disadvantaged-pupils-have-fallen-further-behind-in-maths-as-a-result-of-the-pandemic,Nonpartisan charity,High,Maths-specificity fingerprints source
Covid-19,Furlough cost more than £2000 per household,Derived from ~£70bn total (OBR/HMRC/HoC Library),https://commonslibrary.parliament.uk/research-briefings/cbp-9152/,Nonpartisan-official (total),Medium,Per-household figure is a derived restatement
Covid-19,Government spent more than £300bn on Covid,HoC Library / NAO / OBR,https://commonslibrary.parliament.uk/research-briefings/cbp-9309/,Nonpartisan-official,High,OBR March 2021 = £300bn for measures
Covid-19,Sweden less strict than US but lower death rate,FEE (2020) on a Worldometers snapshot,https://fee.org/articles/sweden-now-has-a-lower-covid-19-death-rate-than-the-us-here-s-why-it-matters/,Right-leaning libertarian,High (orientation) / Medium (origin),Contested; non-persisting Sept 2020 snapshot
