model,ground_truth,researched,response,presented,response_flip,iscontrol,sub_compliance,subject,topic,question,searchornot
GPT4o,false,no,3,post,,1,0.4,34,criminal,1,1
GPT4o,false,no,4,post,,1,0.6,35,criminal,1,1
GPT4o,false,yes,3,post,,1,0.8,36,criminal,1,1
GPT4o,false,no,2,pre,test,1,0.4,37,criminal,1,1
GPT4o,false,yes,6,post,,0,0.4,38,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.6,39,criminal,1,1
GPT4o,false,no,3,post,,0,0.5,40,criminal,1,1
GPT4o,false,yes,5,pre,,0,0.8,41,criminal,1,1
GPT4o,false,no,6,pre,,1,0.7,42,criminal,1,1
GPT4o,false,no,4,post,,0,0.2,43,criminal,1,1
GPT4o,false,no,5,post,,0,0.4,44,criminal,1,1
GPT4o,false,yes,3,post,,0,0.7,45,criminal,1,1
GPT4o,false,no,2,pre,test,1,0.3,46,criminal,1,1
GPT4o,false,no,2,post,test,1,0.8,47,criminal,1,1
GPT4o,false,yes,4,post,,0,0.5,48,criminal,1,1
GPT4o,false,no,3,post,,1,0.3,49,criminal,1,1
GPT4o,false,yes,3,post,,1,0.7,50,criminal,1,1
GPT4o,false,no,6,post,,1,0.8,51,criminal,1,1
GPT4o,false,yes,6,pre,,0,0.5,52,criminal,1,1
GPT4o,false,no,3,post,,0,0.7,53,criminal,1,1
GPT4o,false,yes,5,pre,,1,0.3,54,criminal,1,1
GPT4o,false,yes,1,pre,control,0,0.7,55,criminal,1,1
GPT4o,false,no,2,pre,test,0,0.6,56,criminal,1,1
GPT4o,false,yes,3,post,,0,0.5,57,criminal,1,1
GPT4o,false,no,5,pre,,1,0.5,58,criminal,1,1
GPT4o,false,yes,4,post,,1,0.8,59,criminal,1,1
GPT4o,false,yes,1,pre,control,1,0.6,60,criminal,1,1
GPT4o,false,no,3,pre,,1,0.4,61,criminal,1,1
GPT4o,false,yes,3,post,,1,0.5,62,criminal,1,1
GPT4o,false,no,3,post,,0,0.1,63,criminal,1,1
GPT4o,false,yes,1,pre,control,0,0.6,64,criminal,1,1
GPT4o,false,yes,2,post,test,1,0.7,65,criminal,1,1
GPT4o,false,yes,1,post,control,0,0.5,66,criminal,1,1
GPT4o,false,no,4,post,,0,0.3,67,criminal,1,1
GPT4o,false,no,7,post,,1,0.8,68,criminal,1,1
GPT4o,false,no,3,post,,1,0.3,69,criminal,1,1
GPT4o,false,yes,5,pre,,0,0.9,70,criminal,1,1
GPT4o,false,no,2,pre,test,0,0.6,71,criminal,1,1
GPT4o,false,no,7,pre,,1,0.6,72,criminal,1,1
GPT4o,false,no,3,post,,1,0.7,73,criminal,1,1
GPT4o,false,no,5,post,,1,0.4,74,criminal,1,1
GPT4o,false,yes,5,post,,1,0.6,75,criminal,1,1
GPT4o,false,yes,3,pre,,0,0.7,76,criminal,1,1
GPT4o,false,no,3,post,,0,0.7,77,criminal,1,1
GPT4o,false,yes,5,post,,1,0.8,78,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.4,79,criminal,1,1
GPT4o,false,no,7,pre,,0,0.6,80,criminal,1,1
GPT4o,false,yes,2,pre,test,0,0.7,81,criminal,1,1
GPT4o,false,yes,5,pre,,1,0.7,82,criminal,1,1
GPT4o,false,yes,4,post,,1,0.5,83,criminal,1,1
GPT4o,false,yes,2,post,test,0,0.9,84,criminal,1,1
GPT4o,false,yes,5,post,,1,0.6,85,criminal,1,1
GPT4o,false,no,3,post,,0,0.4,86,criminal,1,1
GPT4o,false,no,3,post,,0,0.7,87,criminal,1,1
GPT4o,false,yes,4,pre,,0,0.6,88,criminal,1,1
GPT4o,false,no,2,pre,test,0,0.4,89,criminal,1,1
GPT4o,false,no,2,post,test,0,0.4,90,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.3,91,criminal,1,1
GPT4o,false,yes,4,pre,,0,0.7,92,criminal,1,1
GPT4o,false,no,3,pre,,0,0.7,93,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.3,94,criminal,1,1
GPT4o,false,yes,3,post,,1,0.5,95,criminal,1,1
GPT4o,false,no,4,pre,,0,0.5,96,criminal,1,1
GPT4o,false,no,7,pre,,1,0.5,97,criminal,1,1
GPT4o,false,yes,1,post,control,0,0.7,98,criminal,1,1
GPT4o,false,yes,3,post,,0,0.6,99,criminal,1,1
GPT4o,false,no,1,pre,control,1,0.4,100,criminal,1,1
GPT4o,false,no,1,pre,control,0,0.3,101,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.5,102,criminal,1,1
GPT4o,false,no,4,post,,1,0.7,103,criminal,1,1
GPT4o,false,yes,2,post,test,1,0.5,104,criminal,1,1
GPT4o,false,yes,3,post,,0,0.7,105,criminal,1,1
GPT4o,false,yes,3,post,,0,0.8,106,criminal,1,1
GPT4o,false,yes,1,pre,control,0,0.5,107,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.9,108,criminal,1,1
GPT4o,false,yes,2,pre,test,0,0.6,109,criminal,1,1
GPT4o,false,yes,3,post,,0,0.4,110,criminal,1,1
GPT4o,false,no,4,post,,1,0.5,111,criminal,1,1
GPT4o,false,no,3,pre,,0,0.7,112,criminal,1,1
GPT4o,false,no,6,pre,,0,0.7,113,criminal,1,1
GPT4o,false,no,2,pre,test,1,0.8,114,criminal,1,1
GPT4o,false,no,2,post,test,0,0.4,115,criminal,1,1
GPT4o,false,no,1,pre,control,0,0.6,116,criminal,1,1
GPT4o,false,no,2,post,test,1,0.8,117,criminal,1,1
GPT4o,false,no,1,pre,control,0,0.5,118,criminal,1,1
GPT4o,false,yes,4,post,,0,0.9,119,criminal,1,1
GPT4o,false,no,1,pre,control,0,0.2,120,criminal,1,1
GPT4o,false,yes,2,post,test,1,0.4,121,criminal,1,1
GPT4o,false,no,3,post,,0,0.5,122,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.5,123,criminal,1,1
GPT4o,false,no,1,pre,control,0,0.7,124,criminal,1,1
GPT4o,false,no,1,pre,control,1,0.6,125,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.6,126,criminal,1,1
GPT4o,false,yes,2,pre,test,1,0.4,127,criminal,1,1
GPT4o,false,yes,5,post,,1,0.6,128,criminal,1,1
GPT4o,false,yes,6,pre,,0,0.6,129,criminal,1,1
GPT4o,false,no,3,pre,,1,0.4,130,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.8,131,criminal,1,1
GPT4o,false,no,3,pre,,0,0.6,132,criminal,1,1
GPT4o,false,no,4,pre,,1,0.8,133,criminal,1,1
GPT4o,false,no,4,pre,,1,0.4,134,criminal,1,1
GPT4o,false,yes,3,post,,0,0.5,135,criminal,1,1
GPT4o,false,yes,4,post,,0,0.6,136,criminal,1,1
GPT4o,false,yes,1,pre,control,0,0.6,137,criminal,1,1
GPT4o,false,yes,4,pre,,0,0.6,138,criminal,1,1
GPT4o,false,yes,1,post,control,1,0.5,139,criminal,1,1
GPT4o,false,no,3,post,,1,0.8,140,criminal,1,1
GPT4o,false,no,2,pre,test,1,0.8,141,criminal,1,1
GPT4o,false,yes,3,post,,0,0.9,142,criminal,1,1
GPT4o,false,no,6,post,,0,0.2,143,criminal,1,1
GPT4o,false,yes,3,post,,1,0.4,144,criminal,1,1
GPT4o,false,yes,3,post,,0,1,145,criminal,1,1
GPT4o,false,no,3,pre,,0,0.4,146,criminal,1,1
GPT4o,false,yes,4,post,,1,0.7,147,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.4,148,criminal,1,1
GPT4o,false,no,1,pre,control,1,0.4,149,criminal,1,1
GPT4o,false,no,1,post,control,1,0.6,150,criminal,1,1
GPT4o,false,no,6,pre,,0,0.6,151,criminal,1,1
GPT4o,false,no,5,pre,,0,0.6,152,criminal,1,1
GPT4o,false,no,3,post,,1,0.8,153,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.7,154,criminal,1,1
GPT4o,false,yes,2,post,test,0,0.6,155,criminal,1,1
GPT4o,false,no,2,post,test,0,0.2,156,criminal,1,1
GPT4o,false,no,6,pre,,0,0.7,157,criminal,1,1
GPT4o,false,no,2,post,test,1,0.5,158,criminal,1,1
GPT4o,false,no,7,post,,0,0.4,159,criminal,1,1
GPT4o,false,no,5,post,,1,0.4,160,criminal,1,1
GPT4o,false,no,2,pre,test,0,0.5,161,criminal,1,1
GPT4o,false,yes,4,pre,,0,0.6,162,criminal,1,1
GPT4o,false,yes,2,pre,test,1,0.5,163,criminal,1,1
GPT4o,false,yes,2,post,test,0,0.5,164,criminal,1,1
GPT4o,false,no,3,post,,1,0.7,165,criminal,1,1
GPT4o,false,no,6,post,,0,0.9,166,criminal,1,1
GPT4o,false,yes,3,post,,1,0.2,167,criminal,1,1
GPT4o,false,yes,4,post,,1,0.9,168,criminal,1,1
GPT4o,false,yes,5,post,,0,0.8,169,criminal,1,1
GPT4o,false,no,4,pre,,1,0.5,170,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.5,171,criminal,1,1
GPT4o,false,no,4,post,,1,0.4,172,criminal,1,1
GPT4o,false,no,2,post,test,0,0.2,173,criminal,1,1
GPT4o,false,yes,3,pre,,0,0.3,174,criminal,1,1
GPT4o,false,yes,1,pre,control,1,0.7,175,criminal,1,1
GPT4o,false,yes,6,post,,1,0.8,176,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.8,177,criminal,1,1
GPT4o,false,no,4,pre,,1,0.5,178,criminal,1,1
GPT4o,false,yes,5,post,,1,0.7,179,criminal,1,1
GPT4o,false,yes,3,post,,0,0.6,180,criminal,1,1
GPT4o,false,no,2,pre,test,1,0.6,181,criminal,1,1
GPT4o,false,yes,3,post,,1,0.6,182,criminal,1,1
GPT4o,false,no,5,pre,,0,0.7,183,criminal,1,1
GPT4o,false,yes,5,pre,,1,0.7,184,criminal,1,1
GPT4o,false,yes,3,pre,,0,0.4,185,criminal,1,1
GPT4o,false,yes,3,post,,1,0.6,186,criminal,1,1
GPT4o,false,no,4,pre,,1,0.6,187,criminal,1,1
GPT4o,false,yes,4,post,,1,0.6,188,criminal,1,1
GPT4o,false,yes,3,post,,1,0.7,189,criminal,1,1
GPT4o,false,yes,7,post,,1,0.6,190,criminal,1,1
GPT4o,false,yes,3,post,,0,0.6,191,criminal,1,1
GPT4o,false,yes,5,pre,,0,0.5,192,criminal,1,1
GPT4o,false,no,6,post,,0,0.5,193,criminal,1,1
GPT4o,false,yes,2,post,test,1,0.5,194,criminal,1,1
GPT4o,false,yes,4,post,,0,0.6,195,criminal,1,1
GPT4o,false,yes,2,pre,test,0,0.8,196,criminal,1,1
GPT4o,false,no,4,post,,1,0.6,197,criminal,1,1
GPT4o,false,no,1,pre,control,1,0.5,198,criminal,1,1
GPT4o,false,no,7,pre,,0,0.6,199,criminal,1,1
GPT4o,false,no,2,post,test,1,0.5,200,criminal,1,1
GPT4o,false,yes,5,post,,1,0.8,201,criminal,1,1
GPT4o,false,no,1,post,control,0,0.5,202,criminal,1,1
GPT4o,false,yes,5,pre,,1,0.6,203,criminal,1,1
GPT4o,false,yes,5,pre,,0,0.8,204,criminal,1,1
GPT4o,false,no,6,pre,,0,0.7,205,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.7,206,criminal,1,1
GPT4o,false,yes,2,pre,test,1,0.7,207,criminal,1,1
GPT4o,false,no,1,pre,control,0,0.7,208,criminal,1,1
GPT4o,false,yes,2,post,test,1,0.4,209,criminal,1,1
GPT4o,false,no,3,pre,,0,0.4,210,criminal,1,1
GPT4o,false,no,6,pre,,1,0.6,211,criminal,1,1
GPT4o,false,yes,2,post,test,0,0.2,212,criminal,1,1
GPT4o,false,yes,2,post,test,0,0.6,213,criminal,1,1
GPT4o,false,no,1,pre,control,1,0.5,214,criminal,1,1
GPT4o,false,no,2,post,test,0,0.4,215,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.4,216,criminal,1,1
GPT4o,false,yes,1,pre,control,0,0.2,217,criminal,1,1
GPT4o,false,no,3,post,,1,0.9,218,criminal,1,1
GPT4o,false,yes,1,pre,control,0,0.3,219,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.6,220,criminal,1,1
GPT4o,false,yes,3,post,,0,0.4,221,criminal,1,1
GPT4o,false,yes,3,post,,0,0.5,222,criminal,1,1
GPT4o,false,no,3,pre,,1,0.9,223,criminal,1,1
GPT4o,false,no,3,post,,0,0.5,224,criminal,1,1
GPT4o,false,no,3,pre,,0,0.5,225,criminal,1,1
GPT4o,false,yes,5,post,,0,0.7,226,criminal,1,1
GPT4o,false,yes,3,post,,0,0.8,227,criminal,1,1
GPT4o,false,no,2,pre,test,1,0.5,228,criminal,1,1
GPT4o,false,no,1,pre,control,1,0.6,229,criminal,1,1
GPT4o,false,yes,1,pre,control,1,0.2,230,criminal,1,1
GPT4o,false,no,6,post,,1,0.8,231,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.6,232,criminal,1,1
GPT4o,false,yes,4,pre,,0,0.9,233,criminal,1,1
GPT4o,false,no,3,post,,1,0.5,234,criminal,1,1
GPT4o,false,no,1,post,control,1,0.5,235,criminal,1,1
GPT4o,false,no,3,post,,1,0.6,236,criminal,1,1
GPT4o,false,no,6,pre,,0,0.2,237,criminal,1,1
GPT4o,false,no,7,post,,0,0.6,238,criminal,1,1
GPT4o,false,yes,5,post,,0,0.4,239,criminal,1,1
GPT4o,false,yes,4,post,,1,0.8,240,criminal,1,1
GPT4o,false,no,5,post,,1,0.6,241,criminal,1,1
GPT4o,false,yes,6,post,,0,0.8,242,criminal,1,1
GPT4o,false,no,1,pre,control,1,0.5,243,criminal,1,1
GPT4o,false,no,2,pre,test,1,0.6,244,criminal,1,1
GPT4o,false,no,5,post,,1,0.7,245,criminal,1,1
GPT4o,false,yes,5,post,,0,0.7,246,criminal,1,1
GPT4o,false,yes,6,post,,1,0.6,247,criminal,1,1
GPT4o,false,yes,5,pre,,1,0.2,248,criminal,1,1
GPT4o,false,yes,6,post,,1,0.6,249,criminal,1,1
GPT4o,false,no,3,pre,,0,0.8,250,criminal,1,1
GPT4o,false,no,1,pre,control,1,0.3,251,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.5,252,criminal,1,1
GPT4o,false,no,5,post,,0,0.6,253,criminal,1,1
GPT4o,false,no,4,pre,,1,0.7,254,criminal,1,1
GPT4o,false,no,1,pre,control,0,0.6,255,criminal,1,1
GPT4o,false,no,2,post,test,1,0.5,256,criminal,1,1
GPT4o,false,yes,1,pre,control,0,0.4,257,criminal,1,1
GPT4o,false,yes,5,pre,,0,0.4,258,criminal,1,1
GPT4o,false,yes,2,pre,test,1,0.5,259,criminal,1,1
GPT4o,false,no,4,pre,,1,0.5,260,criminal,1,1
GPT4o,false,no,4,post,,1,0.7,261,criminal,1,1
GPT4o,false,yes,6,post,,0,0.6,262,criminal,1,1
GPT4o,false,yes,6,pre,,1,0.3,263,criminal,1,1
GPT4o,false,yes,2,pre,test,0,0.5,264,criminal,1,1
GPT4o,false,no,5,pre,,0,0.2,265,criminal,1,1
GPT4o,false,no,5,post,,0,0.6,266,criminal,1,1
GPT4o,false,yes,1,post,control,1,0.9,267,criminal,1,1
GPT4o,false,no,1,post,control,1,0.3,268,criminal,1,1
GPT4o,false,yes,2,pre,test,0,0.6,269,criminal,1,1
GPT4o,false,yes,2,post,test,1,0.8,270,criminal,1,1
GPT4o,false,yes,3,post,,1,0.6,271,criminal,1,1
GPT4o,false,yes,2,pre,test,0,0.6,272,criminal,1,1
GPT4o,false,yes,6,post,,1,0.3,273,criminal,1,1
GPT4o,false,yes,6,post,,0,0.5,274,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.5,275,criminal,1,1
GPT4o,false,no,6,post,,1,0.5,276,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.5,277,criminal,1,1
GPT4o,false,yes,7,post,,0,0.4,278,criminal,1,1
GPT4o,false,yes,1,post,control,1,0.5,279,criminal,1,1
GPT4o,false,yes,2,post,test,1,0.6,280,criminal,1,1
GPT4o,false,yes,6,post,,0,0.4,281,criminal,1,1
GPT4o,false,yes,1,post,control,1,0.3,282,criminal,1,1
GPT4o,false,yes,2,pre,test,0,0.7,283,criminal,1,1
GPT4o,false,no,6,pre,,0,0.6,284,criminal,1,1
GPT4o,false,no,3,post,,0,0.3,285,criminal,1,1
GPT4o,false,yes,1,pre,control,0,0.6,286,criminal,1,1
GPT4o,false,no,1,post,control,1,0.6,287,criminal,1,1
GPT4o,false,no,6,pre,,0,0.5,288,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.7,289,criminal,1,1
GPT4o,false,no,2,pre,test,1,0.5,290,criminal,1,1
GPT4o,false,yes,3,pre,,0,0.6,291,criminal,1,1
GPT4o,false,yes,2,pre,test,1,0.6,292,criminal,1,1
GPT4o,false,no,6,post,,0,0.7,293,criminal,1,1
GPT4o,false,yes,2,pre,test,1,0.6,294,criminal,1,1
GPT4o,false,no,2,pre,test,0,0.5,295,criminal,1,1
GPT4o,false,no,4,post,,1,0.4,296,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.6,297,criminal,1,1
GPT4o,false,yes,7,pre,,1,0.5,298,criminal,1,1
GPT4o,false,no,5,post,,1,0.5,299,criminal,1,1
GPT4o,false,yes,2,pre,test,0,0.7,300,criminal,1,1
GPT4o,false,no,2,post,test,0,0.7,301,criminal,1,1
GPT4o,false,yes,4,pre,,0,0.5,302,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.4,303,criminal,1,1
GPT4o,false,yes,4,pre,,0,0.5,304,criminal,1,1
GPT4o,false,yes,1,pre,control,0,0.3,305,criminal,1,1
GPT4o,false,no,6,post,,1,0.7,306,criminal,1,1
GPT4o,false,yes,7,pre,,1,0.5,307,criminal,1,1
GPT4o,false,yes,2,post,test,0,0.3,308,criminal,1,1
GPT4o,false,yes,5,pre,,1,0.8,309,criminal,1,1
GPT4o,false,no,6,pre,,1,0.4,310,criminal,1,1
GPT4o,false,yes,6,pre,,1,0.6,311,criminal,1,1
GPT4o,false,no,2,post,test,0,0.5,312,criminal,1,1
GPT4o,false,no,3,pre,,0,0.4,313,criminal,1,1
GPT4o,false,no,3,pre,,0,0.6,314,criminal,1,1
GPT4o,false,no,3,post,,1,0.5,315,criminal,1,1
GPT4o,false,no,2,pre,test,0,0.7,316,criminal,1,1
GPT4o,false,no,1,pre,control,0,0.5,317,criminal,1,1
GPT4o,false,no,4,pre,,0,0.6,318,criminal,1,1
GPT4o,false,yes,6,post,,0,0.5,319,criminal,1,1
GPT4o,false,no,2,post,test,0,0.5,320,criminal,1,1
GPT4o,false,no,5,pre,,0,0.5,321,criminal,1,1
GPT4o,false,yes,3,pre,,0,0.7,322,criminal,1,1
GPT4o,false,yes,2,pre,test,1,0.9,323,criminal,1,1
GPT4o,false,yes,1,post,control,1,0.6,324,criminal,1,1
GPT4o,false,no,3,pre,,1,0.7,325,criminal,1,1
GPT4o,false,no,5,pre,,1,0.9,326,criminal,1,1
GPT4o,false,yes,4,pre,,0,0.9,327,criminal,1,1
GPT4o,false,yes,4,post,,0,0.8,328,criminal,1,1
GPT4o,false,no,1,pre,control,1,0.7,329,criminal,1,1
GPT4o,false,yes,5,post,,0,0.6,330,criminal,1,1
GPT4o,false,no,6,post,,0,0.6,331,criminal,1,1
GPT4o,false,yes,1,pre,control,1,0.4,332,criminal,1,1
GPT4o,false,yes,1,pre,control,1,1,333,criminal,1,1
GPT4o,false,yes,6,post,,0,0.3,334,criminal,1,1
GPT4o,false,no,4,pre,,1,0.6,335,criminal,1,1
GPT4o,false,yes,2,pre,test,1,0.9,336,criminal,1,1
GPT4o,false,yes,2,post,test,0,0.8,337,criminal,1,1
GPT4o,false,no,6,pre,,1,0.8,338,criminal,1,1
GPT4o,false,no,1,pre,control,0,0.7,339,criminal,1,1
GPT4o,false,yes,1,post,control,0,0.4,340,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.5,341,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.2,342,criminal,1,1
GPT4o,false,no,2,pre,test,0,0.3,343,criminal,1,1
GPT4o,false,no,3,pre,,0,0.5,344,criminal,1,1
GPT4o,false,no,2,post,test,1,0.4,345,criminal,1,1
GPT4o,false,no,3,pre,,0,0.5,346,criminal,1,1
GPT4o,false,no,1,post,control,0,0.7,347,criminal,1,1
GPT4o,false,yes,1,post,control,0,0.6,348,criminal,1,1
GPT4o,false,no,2,pre,test,1,0.5,349,criminal,1,1
GPT4o,false,no,6,pre,,0,1,350,criminal,1,1
GPT4o,false,no,1,pre,control,0,0.8,351,criminal,1,1
GPT4o,false,yes,5,post,,0,0.5,352,criminal,1,1
GPT4o,false,yes,6,post,,0,0.6,353,criminal,1,1
GPT4o,false,yes,6,post,,1,0.9,354,criminal,1,1
GPT4o,false,no,3,post,,1,0.6,355,criminal,1,1
GPT4o,false,yes,4,post,,0,0.5,356,criminal,1,1
GPT4o,false,yes,5,pre,,1,0.5,357,criminal,1,1
GPT4o,false,no,3,pre,,0,0.4,358,criminal,1,1
GPT4o,false,no,2,post,test,0,0.5,359,criminal,1,1
GPT4o,false,no,3,post,,0,0.7,360,criminal,1,1
GPT4o,false,no,7,post,,1,0.5,361,criminal,1,1
GPT4o,false,yes,6,post,,1,0.6,362,criminal,1,1
GPT4o,false,no,1,post,control,0,0.3,363,criminal,1,1
GPT4o,false,no,4,pre,,1,0.6,364,criminal,1,1
GPT4o,false,no,3,pre,,1,0.7,365,criminal,1,1
GPT4o,false,no,6,pre,,0,0.7,366,criminal,1,1
GPT4o,false,yes,1,post,control,1,0.7,367,criminal,1,1
GPT4o,false,yes,6,pre,,0,0.5,368,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.3,369,criminal,1,1
GPT4o,false,yes,6,post,,1,0.5,370,criminal,1,1
GPT4o,false,yes,3,post,,1,0.5,371,criminal,1,1
GPT4o,false,no,2,post,test,0,0.8,372,criminal,1,1
GPT4o,false,yes,1,post,control,0,0.7,373,criminal,1,1
GPT4o,false,no,5,pre,,1,0.6,374,criminal,1,1
GPT4o,false,no,5,pre,,0,0.6,375,criminal,1,1
GPT4o,false,no,2,pre,test,0,0.7,376,criminal,1,1
GPT4o,false,no,2,post,test,0,0.2,377,criminal,1,1
GPT4o,false,yes,3,post,,0,0.8,378,criminal,1,1
GPT4o,false,no,6,post,,0,0.6,379,criminal,1,1
GPT4o,false,no,6,post,,1,0.4,380,criminal,1,1
GPT4o,false,yes,3,pre,,1,0.4,381,criminal,1,1
GPT4o,false,no,6,pre,,0,0.5,382,criminal,1,1
GPT4o,true,yes,1,post,control,0,0.8,1,climate,1,1
GPT4o,true,yes,7,pre,,0,0.5,2,climate,1,1
GPT4o,true,no,6,post,,1,0.8,3,climate,1,1
GPT4o,true,yes,2,pre,test,1,0.7,4,climate,1,1
GPT4o,true,yes,2,post,test,0,0.7,5,climate,1,1
GPT4o,true,yes,1,post,control,1,0.8,6,climate,1,1
GPT4o,true,no,3,post,,0,0.7,7,climate,1,1
GPT4o,true,no,7,post,,0,0.4,8,climate,1,1
GPT4o,true,no,2,post,test,1,0.3,9,climate,1,1
GPT4o,true,yes,1,pre,control,0,0.5,10,climate,1,1
GPT4o,true,no,6,post,,0,0.4,11,climate,1,1
GPT4o,true,no,6,post,,0,0.4,12,climate,1,1
GPT4o,true,no,2,post,test,1,0.3,13,climate,1,1
GPT4o,true,yes,5,pre,,0,0.3,14,climate,1,1
GPT4o,true,yes,3,pre,,1,0.4,15,climate,1,1
GPT4o,true,yes,5,pre,,1,0.4,16,climate,1,1
GPT4o,true,no,2,post,test,0,0.6,17,climate,1,1
GPT4o,true,no,5,post,,0,0.3,18,climate,1,1
GPT4o,true,yes,3,pre,,1,0.4,19,climate,1,1
GPT4o,true,no,2,post,test,1,0.7,20,climate,1,1
GPT4o,true,no,5,post,,1,0.2,21,climate,1,1
GPT4o,true,yes,2,post,test,0,0.2,22,climate,1,1
GPT4o,true,no,1,pre,control,1,0.6,23,climate,1,1
GPT4o,true,yes,3,post,,1,0.2,24,climate,1,1
GPT4o,true,no,6,pre,,0,0.4,25,climate,1,1
GPT4o,true,yes,3,pre,,0,0.9,26,climate,1,1
GPT4o,true,yes,2,pre,test,1,0.9,27,climate,1,1
GPT4o,true,yes,1,post,control,1,0.5,28,climate,1,1
GPT4o,true,yes,2,post,test,0,0.5,29,climate,1,1
GPT4o,true,yes,2,post,test,0,0.4,30,climate,1,1
GPT4o,true,yes,4,pre,,1,0.4,31,climate,1,1
GPT4o,true,no,2,post,test,0,0.7,32,climate,1,1
GPT4o,true,yes,6,pre,,0,0.6,33,climate,1,1
GPT4o,true,yes,3,post,,1,0.4,34,climate,1,1
GPT4o,true,yes,2,pre,test,1,0.6,35,climate,1,1
GPT4o,true,no,3,post,,1,0.8,36,climate,1,1
GPT4o,true,no,6,post,,1,0.4,37,climate,1,1
GPT4o,true,yes,1,pre,control,0,0.4,38,climate,1,1
GPT4o,true,no,1,post,control,1,0.6,39,climate,1,1
GPT4o,true,yes,6,pre,,0,0.5,40,climate,1,1
GPT4o,true,no,3,pre,,0,0.8,41,climate,1,1
GPT4o,true,yes,2,pre,test,1,0.7,42,climate,1,1
GPT4o,true,yes,3,post,,0,0.2,43,climate,1,1
GPT4o,true,yes,2,post,test,0,0.4,44,climate,1,1
GPT4o,true,no,1,post,control,0,0.7,45,climate,1,1
GPT4o,true,yes,7,pre,,1,0.3,46,climate,1,1
GPT4o,true,no,7,post,,1,0.8,47,climate,1,1
GPT4o,true,no,2,pre,test,0,0.5,48,climate,1,1
GPT4o,true,yes,2,pre,test,1,0.3,49,climate,1,1
